iter	RMSE
0	3702553.625
1	3566150
2	3444987.295
3	3328239.055
4	3220666.345
5	3121548.463
6	3033126.411
7	2948880.01
8	2867747.448
9	2798317.137
10	2735967.037
11	2678374.528
12	2626719.583
13	2569881.571
14	2525430.007
15	2486612.651
16	2448492.125
17	2413474.834
18	2378909.011
19	2352305.997
20	2317299.8
21	2287620.477
22	2251572.716
23	2219151.169
24	2194736.563
25	2169714.025
26	2147357.567
27	2125167.134
28	2099960.882
29	2085756.768
30	2070038.804
31	2055938.007
32	2039151.936
33	2027594.129
34	2013745.504
35	2004868.365
36	1986232.627
37	1973542.777
38	1959936.878
39	1948337.825
40	1939848.867
41	1931973.196
42	1921969.638
43	1912102.242
44	1908748.257
45	1897427.199
46	1888971.613
47	1885733.934
48	1876135.99
49	1873409.345
50	1858807.282
51	1855395.549
52	1843506.017
53	1834015.08
54	1831666.808
55	1829644.333
56	1827248.454
57	1819438.006
58	1817434.869
59	1814557.15
60	1812770.841
61	1805850.117
62	1804294.3
63	1801479.11
64	1798656.655
65	1795841.863
66	1793967.423
67	1787805.003
68	1786205.496
69	1779430.05
70	1778165.396
71	1777074.532
72	1774731.503
73	1773458.523
74	1772202.827
75	1770994.669
76	1770454.105
77	1765960.592
78	1764377.808
79	1757193.08
80	1751543.622
81	1748687.226
82	1742929.321
83	1737139.514
84	1734997.686
85	1732977.479
86	1730164.478
87	1728012.849
88	1721227.906
89	1719914.447
90	1717557.653
91	1711527.272
92	1709191.331
93	1704971.095
94	1702755.683
95	1701665.396
96	1694787.822
97	1694133.789
98	1693365.454
99	1690705.44
100	1683323.501
101	1682404.733
102	1679092.884
103	1677838.701
104	1677117.298
105	1676257.708
106	1675028.31
107	1674413.275
108	1673518.372
109	1669924.937
110	1662038.433
111	1657073.951
112	1653608.07
113	1648896.059
114	1646854.558
115	1640513.679
116	1638570.888
117	1632444.171
118	1631292.742
119	1626378.702
120	1625325.274
121	1620997.009
122	1617047.284
123	1613438.766
124	1608229.37
125	1607899.144
126	1603390.846
127	1600291.318
128	1598599.888
129	1597691.895
130	1597243.551
131	1591001.011
132	1589698.213
133	1585471.172
134	1584847.017
135	1583511.29
136	1579263.8
137	1574089.526
138	1571033.543
139	1567816.933
140	1564765.838
141	1564571.987
142	1561868.672
143	1561515.167
144	1560351.19
145	1559429.429
146	1554870.942
147	1554014.955
148	1553503.24
149	1553221.892
150	1549198.641
151	1547751.729
152	1547466.525
153	1546518.369
154	1546402.642
155	1546146.03
156	1541336.68
157	1541228.605
158	1540936.929
159	1539274.839
160	1536026.721
161	1535889.148
162	1535206.065
163	1535043.228
164	1533158.711
165	1530453.553
166	1529157.777
167	1527096.96
168	1526143.777
169	1525926.683
170	1525733.239
171	1523127.746
172	1522983.495
173	1522971.652
174	1522841.502
175	1522722.358
176	1522603.79
177	1522513.394
178	1519617.427
179	1519544.113
180	1519423.513
181	1516969.812
182	1516863.737
183	1514324.559
184	1511444.267
185	1511313.356
186	1509410.278
187	1507585.055
188	1505571.891
189	1504928.268
190	1502952.497
191	1502334.942
192	1499042.998
193	1498759.031
194	1498680.441
195	1496629.446
196	1493474.438
197	1492905.548
198	1492831.997
199	1491982.196
200	1490805.59
201	1490203.382
202	1490137.288
203	1490076.216
204	1489810.11
205	1488391.57
206	1487497.997
207	1486778.629
208	1484373.261
209	1484102.323
210	1483861.794
211	1481092.438
212	1479165.487
213	1476836.303
214	1475465.909
215	1474451.844
216	1473658.867
217	1470238.044
218	1468529.519
219	1467361.138
220	1467353.307
221	1465703.178
222	1463729.961
223	1461796.507
224	1461788.653
225	1461781.895
226	1460343.851
227	1460337.006
228	1458300.723
229	1457027.496
230	1456626.282
231	1455394.557
232	1454584.076
233	1452384.141
234	1449623.72
235	1447639.168
236	1446885.234
237	1445200.496
238	1444184.141
239	1443962.344
240	1442636.079
241	1442030.398
242	1440750.512
243	1438585.046
244	1437955.476
245	1436357.235
246	1435203.972
247	1434303.115
248	1433549.65
249	1432861.41
250	1432256.986
251	1431496.22
252	1431057.613
253	1429910.67
254	1429479.329
255	1429472.755
256	1429467.096
257	1429461.887
258	1429456.936
259	1429431.115
260	1429243.248
261	1428642.878
262	1428588.188
263	1428478.234
264	1428466.222
265	1428078.287
266	1426195.01
267	1424347.329
268	1423841.316
269	1422976.904
270	1422106.746
271	1422030.927
272	1421239.382
273	1420737.351
274	1420676.131
275	1420289.499
276	1419385.749
277	1419369.103
278	1419332.62
279	1419308.29
280	1418363.074
281	1417365.06
282	1417015.636
283	1416065.235
284	1415212.006
285	1414192.968
286	1413965.239
287	1413627.777
288	1412745.313
289	1412045.271
290	1411329.573
291	1410099.232
292	1409088.888
293	1408594.66
294	1407707.143
295	1406792.641
296	1405000.931
297	1404209.466
298	1404047.422
299	1403999.35
300	1403604.474
301	1403447.851
302	1402609.722
303	1402544.449
304	1402422.242
305	1401962.537
306	1400105.594
307	1399694.04
308	1399540.88
309	1399364.862
310	1398638.415
311	1397903.764
312	1397222.945
313	1396480.656
314	1394162.97
315	1393398.269
316	1392794.116
317	1392572.804
318	1392364.372
319	1392191.813
320	1389598.978
321	1389090.508
322	1388562.27
323	1388298.947
324	1386589.024
325	1386047.213
326	1385773.983
327	1385116.409
328	1384808.329
329	1383963.133
330	1383706.69
331	1382642.186
332	1382222.904
333	1381925.744
334	1381729.366
335	1381410.4
336	1380813.433
337	1380403.107
338	1380013.2
339	1379883.43
340	1379852.919
341	1379544.387
342	1379373.437
343	1379108.922
344	1379079.98
345	1378844.071
346	1378670.111
347	1376584.408
348	1376065.864
349	1375613.701
350	1375094.153
351	1374731.011
352	1374416.475
353	1374124.273
354	1373836.432
355	1373600.372
356	1373076.805
357	1372919.049
358	1372895.357
359	1372791.281
360	1372684.954
361	1372399.73
362	1372339.318
363	1372283.744
364	1371978.087
365	1371831.994
366	1370718.805
367	1370576.648
368	1370511.017
369	1368786.201
370	1367689.245
371	1367080.852
372	1366655.084
373	1366452.725
374	1366038.443
375	1365724.578
376	1365564.678
377	1365360.035
378	1364998.775
379	1364940.352
380	1364659.085
381	1363172.321
382	1362705.274
383	1362561.828
384	1361755.959
385	1361027.114
386	1360647.992
387	1360492.55
388	1360462.998
389	1360134.576
390	1360014.892
391	1359981.616
392	1359965.14
393	1359094.459
394	1359055.085
395	1358683.684
396	1358648.257
397	1358625.204
398	1358555.841
399	1358163.63
400	1358059.956
401	1358003.065
402	1357815.804
403	1357043.47
404	1356241.76
405	1356188.397
406	1355789.481
407	1355532.495
408	1355428.446
409	1355156.422
410	1354604.153
411	1353674.018
412	1353171.113
413	1352823.946
414	1352026.791
415	1351688.45
416	1351342.129
417	1350565.818
418	1349836.711
419	1349348.732
420	1348613.739
421	1348297.817
422	1348039.934
423	1347227.547
424	1346500.451
425	1345891.324
426	1345364.297
427	1344996.99
428	1344690.242
429	1344523.259
430	1344360.598
431	1344309.905
432	1344146.736
433	1344032.71
434	1344002.729
435	1343807.021
436	1343686.727
437	1343018.892
438	1342991.802
439	1342840.848
440	1342400.31
441	1342147.15
442	1341884.77
443	1341860.922
444	1341825.376
445	1341759.515
446	1341737.48
447	1341530.233
448	1341213.79
449	1341038.787
450	1340872.279
451	1340645.247
452	1340565.313
453	1340544.373
454	1340419.904
455	1340398.136
456	1340343.096
457	1340020.885
458	1339275.94
459	1339115.559
460	1339057.12
461	1339024.09
462	1338872.931
463	1338731.019
464	1338428.718
465	1338148.195
466	1337905.244
467	1337886.746
468	1337770.482
469	1337611.126
470	1337488.935
471	1337432.692
472	1337383.129
473	1337313.298
474	1337183.104
475	1337145.592
476	1337083.753
477	1337060.805
478	1337040.945
479	1336913.213
480	1336838.146
481	1336759.672
482	1336727.291
483	1336658.911
484	1336649.683
485	1336643.149
486	1336085.788
487	1336068.565
488	1335980.544
489	1335923.563
490	1335311.556
491	1335181.005
492	1335168.521
493	1334814.924
494	1334419.087
495	1334402.132
496	1334245.492
497	1334156.305
498	1334057.256
499	1334045.851
